Trying substitutions to: 3
with goodVertices 1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 15
bad color to improve: 2  11  with index 40
bad color to improve: 2  15  with index 44
bad color to improve: 5  11  with index 76
3 bad colorings on level 1
Solved config  |2, 11| descendents: 
|3, 8, 10, 12, 15 |---| 3, 9, 10, 13, 14|
|3, 3, 3, 3|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|8, 12, 13, 14|---> |2, 6| possibles  |3, 10, 12|
|8, 15, 13, 14|---> |2, 6| possibles  |3, 10, 12|
|10, 10, 13, 14|---> |2, 6| possibles  |3, 10, 12|
|10, 12, 13, 14|---> |2, 6| possibles  |3, 10, 12|
|10, 15, 13, 14|---> |2, 6| possibles  |3, 10, 12|
|12, 12, 13, 14|---> |2, 6| possibles  |3, 10, 12|
|12, 15, 13, 14|---> |2, 6| possibles  |3, 10, 12|
|15, 15, 13, 14|---> |1, 6| possibles  |0, 3, 9|
|3, 3, 14, 14|---> |1, 4| possibles  |9|
|3, 8, 14, 14|---> |2, 4| possibles  |10, 12|
|3, 10, 14, 14|---> |2, 4| possibles  |10, 12|
|3, 12, 14, 14|---> |2, 4| possibles  |10, 12|
|3, 15, 14, 14|---> |1, 4| possibles  |9|
|8, 8, 14, 14|---> |2, 4| possibles  |10, 12|
|8, 10, 14, 14|---> |2, 4| possibles  |10, 12|
|8, 12, 14, 14|---> |2, 4| possibles  |10, 12|
|8, 15, 14, 14|---> |2, 4| possibles  |10, 12|
|10, 10, 14, 14|---> |2, 4| possibles  |10, 12|
|10, 12, 14, 14|---> |2, 4| possibles  |10, 12|
|10, 15, 14, 14|---> |2, 4| possibles  |10, 12|
|12, 12, 14, 14|---> |2, 4| possibles  |10, 12|
|12, 15, 14, 14|---> |2, 4| possibles  |10, 12|
|15, 15, 14, 14|---> |1, 4| possibles  |9|
|3, 3, 15, 15|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|3, 9, 15, 15|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|3, 10, 15, 15|---> |1, 2| possibles  |3, 15|
|3, 13, 15, 15|---> |1, 5| possibles  |3, 4|
|3, 14, 15, 15|---> |1, 6| possibles  |0, 3, 9|
|9, 9, 15, 15|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|9, 10, 15, 15|---> |1, 4| possibles  |9|
|9, 13, 15, 15|---> |1, 6| possibles  |0, 3, 9|
|9, 14, 15, 15|---> |1, 4| possibles  |9|
|10, 10, 15, 15|---> |1, 2| possibles  |3, 15|
|10, 13, 15, 15|---> |1, 6| possibles  |0, 3, 9|
|10, 14, 15, 15|---> |1, 4| possibles  |9|
|13, 13, 15, 15|---> |1, 5| possibles  |3, 4|
|13, 14, 15, 15|---> |1, 6| possibles  |0, 3, 9|
|14, 14, 15, 15|---> |1, 4| possibles  |9|
+++++++++++++++++++++++++++++++++++++++
Solved config  |5, 11| descendents: 
|3, 4, 7, 8, 13 |---| 3, 9, 10, 13, 14|
|3, 3, 3, 3|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|3, 3, 3, 3|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|3, 4, 3, 3|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|3, 7, 3, 3|---> |1, 5| possibles  |3, 4|
|3, 8, 3, 3|---> |1, 2| possibles  |3, 15|
|3, 9, 3, 3|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|3, 10, 3, 3|---> |1, 2| possibles  |3, 15|
|3, 13, 3, 3|---> |1, 5| possibles  |3, 4|
|3, 13, 3, 3|---> |1, 5| possibles  |3, 4|
|3, 14, 3, 3|---> |1, 6| possibles  |0, 3, 9|
|4, 4, 3, 3|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|4, 7, 3, 3|---> |1, 5| possibles  |3, 4|
|4, 8, 3, 3|---> |1, 5| possibles  |3, 4|
|4, 13, 3, 3|---> |1, 5| possibles  |3, 4|
|7, 7, 3, 3|---> |1, 5| possibles  |3, 4|
|7, 8, 3, 3|---> |1, 5| possibles  |3, 4|
|7, 13, 3, 3|---> |1, 5| possibles  |3, 4|
|8, 8, 3, 3|---> |1, 2| possibles  |3, 15|
|8, 13, 3, 3|---> |1, 5| possibles  |3, 4|
|9, 9, 3, 3|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|9, 10, 3, 3|---> |1, 4| possibles  |9|
|9, 13, 3, 3|---> |1, 6| possibles  |0, 3, 9|
|9, 14, 3, 3|---> |1, 4| possibles  |9|
|10, 10, 3, 3|---> |1, 2| possibles  |3, 15|
|10, 13, 3, 3|---> |1, 6| possibles  |0, 3, 9|
|10, 14, 3, 3|---> |1, 4| possibles  |9|
|13, 13, 3, 3|---> |1, 5| possibles  |3, 4|
|13, 13, 3, 3|---> |1, 5| possibles  |3, 4|
|13, 14, 3, 3|---> |1, 6| possibles  |0, 3, 9|
|14, 14, 3, 3|---> |1, 4| possibles  |9|
|3, 3, 3, 4|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|3, 9, 3, 4|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|3, 10, 3, 4|---> |1, 2| possibles  |3, 15|
|3, 13, 3, 4|---> |1, 5| possibles  |3, 4|
|3, 14, 3, 4|---> |1, 6| possibles  |0, 3, 9|
|9, 9, 3, 4|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|9, 10, 3, 4|---> |1, 4| possibles  |9|
|9, 13, 3, 4|---> |1, 6| possibles  |0, 3, 9|
|9, 14, 3, 4|---> |1, 4| possibles  |9|
|10, 10, 3, 4|---> |1, 2| possibles  |3, 15|
|10, 13, 3, 4|---> |1, 6| possibles  |0, 3, 9|
|10, 14, 3, 4|---> |1, 4| possibles  |9|
|13, 13, 3, 4|---> |1, 5| possibles  |3, 4|
|13, 14, 3, 4|---> |1, 6| possibles  |0, 3, 9|
|14, 14, 3, 4|---> |1, 4| possibles  |9|
|3, 3, 3, 7|---> |1, 5| possibles  |3, 4|
|3, 9, 3, 7|---> |1, 5| possibles  |3, 4|
|3, 10, 3, 7|---> |2, 5| possibles  |3, 8|
|3, 13, 3, 7|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|3, 14, 3, 7|---> |5, 6| possibles  |3, 7, 13|
|9, 9, 3, 7|---> |1, 5| possibles  |3, 4|
|9, 10, 3, 7|---> |4, 6| possibles  |9, 10, 12, 14|
|9, 13, 3, 7|---> |5, 6| possibles  |3, 7, 13|
|9, 14, 3, 7|---> |4, 6| possibles  |9, 10, 12, 14|
|10, 10, 3, 7|---> |2, 5| possibles  |3, 8|
|10, 13, 3, 7|---> |5, 6| possibles  |3, 7, 13|
|10, 14, 3, 7|---> |4, 6| possibles  |9, 10, 12, 14|
|13, 13, 3, 7|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|13, 14, 3, 7|---> |5, 6| possibles  |3, 7, 13|
|14, 14, 3, 7|---> |4, 6| possibles  |9, 10, 12, 14|
|3, 3, 3, 8|---> |1, 2| possibles  |3, 15|
|3, 9, 3, 8|---> |1, 2| possibles  |3, 15|
|3, 10, 3, 8|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|3, 13, 3, 8|---> |2, 5| possibles  |3, 8|
|3, 14, 3, 8|---> |2, 6| possibles  |3, 10, 12|
|9, 9, 3, 8|---> |1, 2| possibles  |3, 15|
|9, 10, 3, 8|---> |2, 4| possibles  |10, 12|
|9, 13, 3, 8|---> |2, 6| possibles  |3, 10, 12|
|9, 14, 3, 8|---> |2, 4| possibles  |10, 12|
|10, 10, 3, 8|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|10, 13, 3, 8|---> |2, 6| possibles  |3, 10, 12|
|10, 14, 3, 8|---> |2, 4| possibles  |10, 12|
|13, 13, 3, 8|---> |2, 5| possibles  |3, 8|
|13, 14, 3, 8|---> |2, 6| possibles  |3, 10, 12|
|14, 14, 3, 8|---> |2, 4| possibles  |10, 12|
|3, 3, 3, 9|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|3, 4, 3, 9|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|3, 7, 3, 9|---> |1, 5| possibles  |3, 4|
|3, 8, 3, 9|---> |1, 2| possibles  |3, 15|
|3, 13, 3, 9|---> |1, 5| possibles  |3, 4|
|4, 4, 3, 9|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|4, 7, 3, 9|---> |1, 5| possibles  |3, 4|
|4, 8, 3, 9|---> |1, 5| possibles  |3, 4|
|4, 13, 3, 9|---> |1, 5| possibles  |3, 4|
|7, 7, 3, 9|---> |1, 5| possibles  |3, 4|
|7, 8, 3, 9|---> |1, 5| possibles  |3, 4|
|7, 13, 3, 9|---> |1, 5| possibles  |3, 4|
|8, 8, 3, 9|---> |1, 2| possibles  |3, 15|
|8, 13, 3, 9|---> |1, 5| possibles  |3, 4|
|13, 13, 3, 9|---> |1, 5| possibles  |3, 4|
|3, 3, 3, 10|---> |1, 2| possibles  |3, 15|
|3, 4, 3, 10|---> |1, 2| possibles  |3, 15|
|3, 7, 3, 10|---> |2, 5| possibles  |3, 8|
|3, 8, 3, 10|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|3, 13, 3, 10|---> |2, 5| possibles  |3, 8|
|4, 4, 3, 10|---> |1, 2| possibles  |3, 15|
|4, 7, 3, 10|---> |2, 5| possibles  |3, 8|
|4, 8, 3, 10|---> |2, 5| possibles  |3, 8|
|4, 13, 3, 10|---> |2, 5| possibles  |3, 8|
|7, 7, 3, 10|---> |2, 5| possibles  |3, 8|
|7, 8, 3, 10|---> |2, 5| possibles  |3, 8|
|7, 13, 3, 10|---> |2, 5| possibles  |3, 8|
|8, 8, 3, 10|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|8, 13, 3, 10|---> |2, 5| possibles  |3, 8|
|13, 13, 3, 10|---> |2, 5| possibles  |3, 8|
|3, 3, 3, 13|---> |1, 5| possibles  |3, 4|
|3, 3, 3, 13|---> |1, 5| possibles  |3, 4|
|3, 4, 3, 13|---> |1, 5| possibles  |3, 4|
|3, 7, 3, 13|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|3, 8, 3, 13|---> |2, 5| possibles  |3, 8|
|3, 9, 3, 13|---> |1, 5| possibles  |3, 4|
|3, 10, 3, 13|---> |2, 5| possibles  |3, 8|
|3, 13, 3, 13|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|3, 13, 3, 13|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|3, 14, 3, 13|---> |5, 6| possibles  |3, 7, 13|
|4, 4, 3, 13|---> |1, 5| possibles  |3, 4|
|4, 7, 3, 13|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|4, 8, 3, 13|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|4, 13, 3, 13|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|7, 7, 3, 13|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|7, 8, 3, 13|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|7, 13, 3, 13|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|8, 8, 3, 13|---> |2, 5| possibles  |3, 8|
|8, 13, 3, 13|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|9, 9, 3, 13|---> |1, 5| possibles  |3, 4|
|9, 10, 3, 13|---> |4, 6| possibles  |9, 10, 12, 14|
|9, 13, 3, 13|---> |5, 6| possibles  |3, 7, 13|
|9, 14, 3, 13|---> |4, 6| possibles  |9, 10, 12, 14|
|10, 10, 3, 13|---> |2, 5| possibles  |3, 8|
|10, 13, 3, 13|---> |5, 6| possibles  |3, 7, 13|
|10, 14, 3, 13|---> |4, 6| possibles  |9, 10, 12, 14|
|13, 13, 3, 13|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|13, 13, 3, 13|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|13, 14, 3, 13|---> |5, 6| possibles  |3, 7, 13|
|14, 14, 3, 13|---> |4, 6| possibles  |9, 10, 12, 14|
|3, 3, 3, 14|---> |1, 6| possibles  |0, 3, 9|
|3, 4, 3, 14|---> |1, 6| possibles  |0, 3, 9|
|3, 7, 3, 14|---> |5, 6| possibles  |3, 7, 13|
|3, 8, 3, 14|---> |2, 6| possibles  |3, 10, 12|
|3, 13, 3, 14|---> |5, 6| possibles  |3, 7, 13|
|4, 4, 3, 14|---> |1, 6| possibles  |0, 3, 9|
|4, 7, 3, 14|---> |5, 6| possibles  |3, 7, 13|
|4, 8, 3, 14|---> |5, 6| possibles  |3, 7, 13|
|4, 13, 3, 14|---> |5, 6| possibles  |3, 7, 13|
|7, 7, 3, 14|---> |5, 6| possibles  |3, 7, 13|
|7, 8, 3, 14|---> |5, 6| possibles  |3, 7, 13|
|7, 13, 3, 14|---> |5, 6| possibles  |3, 7, 13|
|8, 8, 3, 14|---> |2, 6| possibles  |3, 10, 12|
|8, 13, 3, 14|---> |5, 6| possibles  |3, 7, 13|
|13, 13, 3, 14|---> |5, 6| possibles  |3, 7, 13|
|3, 3, 4, 4|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|3, 9, 4, 4|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|3, 10, 4, 4|---> |1, 2| possibles  |3, 15|
|3, 13, 4, 4|---> |1, 5| possibles  |3, 4|
|3, 14, 4, 4|---> |1, 6| possibles  |0, 3, 9|
|9, 9, 4, 4|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|9, 10, 4, 4|---> |1, 4| possibles  |9|
|9, 13, 4, 4|---> |1, 6| possibles  |0, 3, 9|
|9, 14, 4, 4|---> |1, 4| possibles  |9|
|10, 10, 4, 4|---> |1, 2| possibles  |3, 15|
|10, 13, 4, 4|---> |1, 6| possibles  |0, 3, 9|
|10, 14, 4, 4|---> |1, 4| possibles  |9|
|13, 13, 4, 4|---> |1, 5| possibles  |3, 4|
|13, 14, 4, 4|---> |1, 6| possibles  |0, 3, 9|
|14, 14, 4, 4|---> |1, 4| possibles  |9|
|3, 3, 4, 7|---> |1, 5| possibles  |3, 4|
|3, 9, 4, 7|---> |1, 5| possibles  |3, 4|
|3, 10, 4, 7|---> |2, 5| possibles  |3, 8|
|3, 13, 4, 7|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|3, 14, 4, 7|---> |5, 6| possibles  |3, 7, 13|
|9, 9, 4, 7|---> |1, 5| possibles  |3, 4|
|9, 10, 4, 7|---> |4, 9| possibles  |1, 12|
|9, 13, 4, 7|---> |5, 6| possibles  |3, 7, 13|
|9, 14, 4, 7|---> |4, 9| possibles  |1, 12|
|10, 10, 4, 7|---> |2, 5| possibles  |3, 8|
|10, 13, 4, 7|---> |5, 6| possibles  |3, 7, 13|
|10, 14, 4, 7|---> |4, 9| possibles  |1, 12|
|13, 13, 4, 7|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|13, 14, 4, 7|---> |5, 6| possibles  |3, 7, 13|
|14, 14, 4, 7|---> |4, 9| possibles  |1, 12|
|3, 3, 4, 8|---> |1, 5| possibles  |3, 4|
|3, 9, 4, 8|---> |1, 5| possibles  |3, 4|
|3, 10, 4, 8|---> |2, 5| possibles  |3, 8|
|3, 13, 4, 8|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|3, 14, 4, 8|---> |5, 6| possibles  |3, 7, 13|
|9, 9, 4, 8|---> |1, 5| possibles  |3, 4|
|9, 10, 4, 8|---> |4, 9| possibles  |1, 12|
|9, 13, 4, 8|---> |5, 6| possibles  |3, 7, 13|
|9, 14, 4, 8|---> |4, 9| possibles  |1, 12|
|10, 10, 4, 8|---> |2, 5| possibles  |3, 8|
|10, 13, 4, 8|---> |5, 6| possibles  |3, 7, 13|
|10, 14, 4, 8|---> |4, 9| possibles  |1, 12|
|13, 13, 4, 8|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|13, 14, 4, 8|---> |5, 6| possibles  |3, 7, 13|
|14, 14, 4, 8|---> |4, 9| possibles  |1, 12|
|3, 3, 4, 13|---> |1, 5| possibles  |3, 4|
|3, 9, 4, 13|---> |1, 5| possibles  |3, 4|
|3, 10, 4, 13|---> |2, 5| possibles  |3, 8|
|3, 13, 4, 13|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|3, 14, 4, 13|---> |5, 6| possibles  |3, 7, 13|
|9, 9, 4, 13|---> |1, 5| possibles  |3, 4|
|9, 10, 4, 13|---> |4, 12| possibles  |9|
|9, 13, 4, 13|---> |5, 6| possibles  |3, 7, 13|
|9, 14, 4, 13|---> |4, 12| possibles  |9|
|10, 10, 4, 13|---> |2, 5| possibles  |3, 8|
|10, 13, 4, 13|---> |5, 6| possibles  |3, 7, 13|
|10, 14, 4, 13|---> |4, 12| possibles  |9|
|13, 13, 4, 13|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|13, 14, 4, 13|---> |5, 6| possibles  |3, 7, 13|
|14, 14, 4, 13|---> |4, 12| possibles  |9|
|3, 3, 7, 7|---> |1, 5| possibles  |3, 4|
|3, 9, 7, 7|---> |1, 5| possibles  |3, 4|
|3, 10, 7, 7|---> |2, 5| possibles  |3, 8|
|3, 13, 7, 7|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|3, 14, 7, 7|---> |5, 6| possibles  |3, 7, 13|
|9, 9, 7, 7|---> |1, 5| possibles  |3, 4|
|9, 10, 7, 7|---> |4, 6| possibles  |9, 10, 12, 14|
|9, 13, 7, 7|---> |5, 6| possibles  |3, 7, 13|
|9, 14, 7, 7|---> |4, 6| possibles  |9, 10, 12, 14|
|10, 10, 7, 7|---> |2, 5| possibles  |3, 8|
|10, 13, 7, 7|---> |5, 6| possibles  |3, 7, 13|
|10, 14, 7, 7|---> |4, 6| possibles  |9, 10, 12, 14|
|13, 13, 7, 7|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|13, 14, 7, 7|---> |5, 6| possibles  |3, 7, 13|
|14, 14, 7, 7|---> |4, 6| possibles  |9, 10, 12, 14|
|3, 3, 7, 8|---> |1, 5| possibles  |3, 4|
|3, 9, 7, 8|---> |1, 5| possibles  |3, 4|
|3, 10, 7, 8|---> |2, 5| possibles  |3, 8|
|3, 13, 7, 8|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|3, 14, 7, 8|---> |5, 6| possibles  |3, 7, 13|
|9, 9, 7, 8|---> |1, 5| possibles  |3, 4|
|9, 10, 7, 8|---> |4, 9| possibles  |1, 12|
|9, 13, 7, 8|---> |5, 6| possibles  |3, 7, 13|
|9, 14, 7, 8|---> |4, 9| possibles  |1, 12|
|10, 10, 7, 8|---> |2, 5| possibles  |3, 8|
|10, 13, 7, 8|---> |5, 6| possibles  |3, 7, 13|
|10, 14, 7, 8|---> |4, 9| possibles  |1, 12|
|13, 13, 7, 8|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|13, 14, 7, 8|---> |5, 6| possibles  |3, 7, 13|
|14, 14, 7, 8|---> |4, 9| possibles  |1, 12|
|3, 3, 7, 13|---> |1, 5| possibles  |3, 4|
|3, 9, 7, 13|---> |1, 5| possibles  |3, 4|
|3, 10, 7, 13|---> |2, 5| possibles  |3, 8|
|3, 13, 7, 13|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|3, 14, 7, 13|---> |5, 6| possibles  |3, 7, 13|
|9, 9, 7, 13|---> |1, 5| possibles  |3, 4|
|9, 10, 7, 13|---> |4, 6| possibles  |9, 10, 12, 14|
|9, 13, 7, 13|---> |5, 6| possibles  |3, 7, 13|
|9, 14, 7, 13|---> |4, 6| possibles  |9, 10, 12, 14|
|10, 10, 7, 13|---> |2, 5| possibles  |3, 8|
|10, 13, 7, 13|---> |5, 6| possibles  |3, 7, 13|
|10, 14, 7, 13|---> |4, 6| possibles  |9, 10, 12, 14|
|13, 13, 7, 13|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|13, 14, 7, 13|---> |5, 6| possibles  |3, 7, 13|
|14, 14, 7, 13|---> |4, 6| possibles  |9, 10, 12, 14|
|3, 3, 8, 8|---> |1, 2| possibles  |3, 15|
|3, 9, 8, 8|---> |1, 2| possibles  |3, 15|
|3, 10, 8, 8|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|3, 13, 8, 8|---> |2, 5| possibles  |3, 8|
|3, 14, 8, 8|---> |2, 6| possibles  |3, 10, 12|
|9, 9, 8, 8|---> |1, 2| possibles  |3, 15|
|9, 10, 8, 8|---> |2, 4| possibles  |10, 12|
|9, 13, 8, 8|---> |2, 6| possibles  |3, 10, 12|
|9, 14, 8, 8|---> |2, 4| possibles  |10, 12|
|10, 10, 8, 8|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|10, 13, 8, 8|---> |2, 6| possibles  |3, 10, 12|
|10, 14, 8, 8|---> |2, 4| possibles  |10, 12|
|13, 13, 8, 8|---> |2, 5| possibles  |3, 8|
|13, 14, 8, 8|---> |2, 6| possibles  |3, 10, 12|
|14, 14, 8, 8|---> |2, 4| possibles  |10, 12|
|3, 3, 8, 13|---> |1, 5| possibles  |3, 4|
|3, 9, 8, 13|---> |1, 5| possibles  |3, 4|
|3, 10, 8, 13|---> |2, 5| possibles  |3, 8|
|3, 13, 8, 13|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|3, 14, 8, 13|---> |5, 6| possibles  |3, 7, 13|
|9, 9, 8, 13|---> |1, 5| possibles  |3, 4|
|9, 10, 8, 13|---> |5, 6| possibles  |3, 7, 13|
|9, 13, 8, 13|---> |5, 6| possibles  |3, 7, 13|
|9, 14, 8, 13|---> |5, 6| possibles  |3, 7, 13|
|10, 10, 8, 13|---> |2, 5| possibles  |3, 8|
|10, 13, 8, 13|---> |5, 6| possibles  |3, 7, 13|
|10, 14, 8, 13|---> |5, 6| possibles  |3, 7, 13|
|13, 13, 8, 13|---> |5, 5| possibles  |3, 4, 7, 8, 13|
|13, 14, 8, 13|---> |5, 6| possibles  |3, 7, 13|
|14, 14, 8, 13|---> |5, 6| possibles  |3, 7, 13|
|3, 3, 9, 9|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|3, 4, 9, 9|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|3, 7, 9, 9|---> |1, 5| possibles  |3, 4|
|3, 8, 9, 9|---> |1, 2| possibles  |3, 15|
|3, 13, 9, 9|---> |1, 5| possibles  |3, 4|
|4, 4, 9, 9|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|4, 7, 9, 9|---> |1, 5| possibles  |3, 4|
|4, 8, 9, 9|---> |1, 5| possibles  |3, 4|
|4, 13, 9, 9|---> |1, 5| possibles  |3, 4|
|7, 7, 9, 9|---> |1, 5| possibles  |3, 4|
|7, 8, 9, 9|---> |1, 5| possibles  |3, 4|
|7, 13, 9, 9|---> |1, 5| possibles  |3, 4|
|8, 8, 9, 9|---> |1, 2| possibles  |3, 15|
|8, 13, 9, 9|---> |1, 5| possibles  |3, 4|
|13, 13, 9, 9|---> |1, 5| possibles  |3, 4|
|3, 3, 9, 10|---> |1, 4| possibles  |9|
|3, 4, 9, 10|---> |1, 4| possibles  |9|
|3, 7, 9, 10|---> |5, 6| possibles  |3, 7, 13|
|3, 8, 9, 10|---> |2, 4| possibles  |10, 12|
|3, 13, 9, 10|---> |5, 6| possibles  |3, 7, 13|
|4, 4, 9, 10|---> |1, 4| possibles  |9|
|4, 7, 9, 10|---> |5, 6| possibles  |3, 7, 13|
|4, 8, 9, 10|---> |5, 6| possibles  |3, 7, 13|
|4, 13, 9, 10|---> |5, 6| possibles  |3, 7, 13|
|7, 7, 9, 10|---> |5, 6| possibles  |3, 7, 13|
|7, 8, 9, 10|---> |5, 6| possibles  |3, 7, 13|
|7, 13, 9, 10|---> |5, 6| possibles  |3, 7, 13|
|8, 8, 9, 10|---> |2, 4| possibles  |10, 12|
|8, 13, 9, 10|---> |5, 6| possibles  |3, 7, 13|
|13, 13, 9, 10|---> |5, 6| possibles  |3, 7, 13|
|3, 3, 9, 13|---> |1, 6| possibles  |0, 3, 9|
|3, 4, 9, 13|---> |1, 6| possibles  |0, 3, 9|
|3, 7, 9, 13|---> |5, 6| possibles  |3, 7, 13|
|3, 8, 9, 13|---> |2, 6| possibles  |3, 10, 12|
|3, 13, 9, 13|---> |5, 6| possibles  |3, 7, 13|
|4, 4, 9, 13|---> |1, 6| possibles  |0, 3, 9|
|4, 7, 9, 13|---> |5, 6| possibles  |3, 7, 13|
|4, 8, 9, 13|---> |5, 6| possibles  |3, 7, 13|
|4, 13, 9, 13|---> |5, 6| possibles  |3, 7, 13|
|7, 7, 9, 13|---> |5, 6| possibles  |3, 7, 13|
|7, 8, 9, 13|---> |5, 6| possibles  |3, 7, 13|
|7, 13, 9, 13|---> |5, 6| possibles  |3, 7, 13|
|8, 8, 9, 13|---> |2, 6| possibles  |3, 10, 12|
|8, 13, 9, 13|---> |5, 6| possibles  |3, 7, 13|
|13, 13, 9, 13|---> |5, 6| possibles  |3, 7, 13|
|3, 3, 9, 14|---> |1, 4| possibles  |9|
|3, 4, 9, 14|---> |1, 4| possibles  |9|
|3, 7, 9, 14|---> |5, 6| possibles  |3, 7, 13|
|3, 8, 9, 14|---> |2, 4| possibles  |10, 12|
|3, 13, 9, 14|---> |5, 6| possibles  |3, 7, 13|
|4, 4, 9, 14|---> |1, 4| possibles  |9|
|4, 7, 9, 14|---> |5, 6| possibles  |3, 7, 13|
|4, 8, 9, 14|---> |5, 6| possibles  |3, 7, 13|
|4, 13, 9, 14|---> |5, 6| possibles  |3, 7, 13|
|7, 7, 9, 14|---> |5, 6| possibles  |3, 7, 13|
|7, 8, 9, 14|---> |5, 6| possibles  |3, 7, 13|
|7, 13, 9, 14|---> |5, 6| possibles  |3, 7, 13|
|8, 8, 9, 14|---> |2, 4| possibles  |10, 12|
|8, 13, 9, 14|---> |5, 6| possibles  |3, 7, 13|
|13, 13, 9, 14|---> |5, 6| possibles  |3, 7, 13|
|3, 3, 10, 10|---> |1, 2| possibles  |3, 15|
|3, 4, 10, 10|---> |1, 2| possibles  |3, 15|
|3, 7, 10, 10|---> |2, 5| possibles  |3, 8|
|3, 8, 10, 10|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|3, 13, 10, 10|---> |2, 5| possibles  |3, 8|
|4, 4, 10, 10|---> |1, 2| possibles  |3, 15|
|4, 7, 10, 10|---> |2, 5| possibles  |3, 8|
|4, 8, 10, 10|---> |2, 5| possibles  |3, 8|
|4, 13, 10, 10|---> |2, 5| possibles  |3, 8|
|7, 7, 10, 10|---> |2, 5| possibles  |3, 8|
|7, 8, 10, 10|---> |2, 5| possibles  |3, 8|
|7, 13, 10, 10|---> |2, 5| possibles  |3, 8|
|8, 8, 10, 10|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|8, 13, 10, 10|---> |2, 5| possibles  |3, 8|
|13, 13, 10, 10|---> |2, 5| possibles  |3, 8|
|3, 3, 10, 13|---> |1, 6| possibles  |0, 3, 9|
|3, 4, 10, 13|---> |1, 6| possibles  |0, 3, 9|
|3, 7, 10, 13|---> |5, 6| possibles  |3, 7, 13|
|3, 8, 10, 13|---> |2, 6| possibles  |3, 10, 12|
|3, 13, 10, 13|---> |5, 6| possibles  |3, 7, 13|
|4, 4, 10, 13|---> |1, 6| possibles  |0, 3, 9|
|4, 7, 10, 13|---> |5, 6| possibles  |3, 7, 13|
|4, 8, 10, 13|---> |5, 6| possibles  |3, 7, 13|
|4, 13, 10, 13|---> |5, 6| possibles  |3, 7, 13|
|7, 7, 10, 13|---> |5, 6| possibles  |3, 7, 13|
|7, 8, 10, 13|---> |5, 6| possibles  |3, 7, 13|
|7, 13, 10, 13|---> |5, 6| possibles  |3, 7, 13|
|8, 8, 10, 13|---> |2, 6| possibles  |3, 10, 12|
|8, 13, 10, 13|---> |5, 6| possibles  |3, 7, 13|
